# this is our data file
#
# there are 6 columns and 1000 rows
#
# maybe the variables are
# A B C D E F
-0.0067241 1.7767 0.52748 3.3135 6.2794 0.7128
0.39663 2.6232 0.96161 2.2314 4.3307 0.75463
0.8132 1.3155 0.74141 2.2604 2.0199 0.28706
0.72228 2.1731 0.66707 3.2743 3.4464 0.56546
0.243 2.1969 0.43849 3.1382 2.023 0.39492
0.52428 -0.40158 0.35441 2.2933 5.471 0.55448
0.24953 -3.1376 0.42075 3.2902 4.6131 0.63258
0.54874 3.0119 0.80374 3.0633 6.0493 0.47301
0.93275 -0.39338 0.047833 2.559 2.0096 0.47221
0.63054 -1.0476 0.87627 3.0728 3.9658 0.52977
0.38126 2.9477 0.16604 2.3801 5.7576 0.55593
0.64643 -0.13668 0.94641 2.1052 4.9067 0.11743
0.62908 0.69143 0.47598 2.452 5.7876 0.12344
1.0405 -1.8751 0.026316 2.2488 4.5321 0.88296
0.20679 -1.1823 0.35803 2.3137 1.5921 0.33244
0.72396 0.032122 0.89731 3.2766 2.2329 0.47233
0.40451 2.1174 0.10748 2.7399 5.9013 0.24527
0.1987 0.76018 0.83175 2.1099 3.8778 0.17543
0.20915 -2.8664 0.59086 2.1723 2.0599 0.42544
0.96144 0.093683 0.40256 3.0122 3.0619 0.017183
0.079049 2.225 0.44585 2.1798 3.7008 0.38792
0.41211 2.684 0.49108 2.1035 4.0122 0.39669
0.38151 3.3372 0.71429 2.5679 1.7093 0.48681
0.80451 0.17772 0.63641 2.4764 5.6173 0.45956
0.62923 5.3307 0.46233 3.0211 1.7246 0.6366
0.93768 4.8336 0.66098 2.2571 1.8434 0.84278
0.28533 0.55493 0.9969 2.2604 5.2427 0.32516
0.48609 -2.5874 0.23854 2.591 2.4181 0.51451
0.21832 -0.5237 0.66076 2.2924 4.2087 0.67891
0.81183 1.018 0.21881 3.3137 5.0021 0.082289
1.0584 1.3172 0.575 3.228 5.1454 0.6015
0.79246 3.0124 0.57888 2.4428 5.8827 0.63255
0.37449 1.094 0.28759 2.865 2.1543 0.24314
0.50772 2.3321 0.63898 2.2494 4.4419 0.70871
0.46443 -1.7604 0.78009 2.8174 4.2426 0.85859
0.61117 5.0623 0.53813 2.4245 2.1114 0.23233
0.22903 2.37 0.49828 3.0412 5.1658 0.87193
1.0629 2.4261 0.62422 3.1877 5.9055 0.16561
0.67594 3.35 0.48044 2.1377 6.2114 0.79597
0.5756 3.8111 0.91911 3.0211 5.3164 0.5316
0.29336 0.87656 0.10684 3.1702 4.0052 0.59965
0.60105 -1.0677 0.12309 3.0002 5.3679 0.53976
0.66221 2.1627 0.9599 3.2014 4.0379 0.15815
0.39769 -0.98445 0.92103 1.8649 5.5742 0.76404
0.49602 -0.2147 0.50713 2.4098 2.9379 0.59099
0.12143 -0.57936 0.69838 3.2296 2.8852 0.76708
0.32131 5.6029 0.34543 2.4669 5.8977 0.41586
0.52558 1.9759 0.21103 2.5344 1.7893 0.044211
0.36579 4.105 0.70826 2.3972 5.9946 0.0027159
0.37501 -2.7456 0.054876 2.4824 4.9091 0.55339
0.89475 0.96919 0.30197 2.9767 5.504 0.83531
0.31675 6.6151 0.68728 3.0416 6.0145 0.63702
0.53618 3.8835 0.33968 2.2437 3.9004 0.69324
0.34204 2.2598 0.41709 2.0916 3.5201 0.97189
0.52189 -0.83923 0.56847 3.3312 5.0867 0.81984
0.14624 3.5141 0.77611 2.7046 4.8516 0.48142
-0.11942 0.87715 0.17043 2.7906 1.9815 0.14192
1.1894 -1.4095 0.50791 2.647 6.2238 0.52694
0.31545 -0.34618 0.35112 3.4371 6.0021 0.43561
0.50766 -1.4773 0.32042 2.7573 4.1184 0.9975
0.83504 1.8926 0.79499 3.0938 2.3506 0.35787
0.50559 -0.27045 0.71822 3.3619 2.8229 0.071361
0.39424 2.2377 0.57082 3.1709 1.6087 0.48218
0.48643 0.54736 0.77943 3.1646 3.2706 0.36394
0.22145 -1.1786 0.38647 2.2018 2.2901 0.064003
0.85466 3.0447 0.8356 2.4163 3.9239 0.64054
0.29586 0.21649 0.53657 3.5358 4.0018 0.71748
0.51405 0.72797 0.16808 2.9684 6.0563 0.55375
0.38022 -0.45586 0.49022 2.2818 1.7964 0.86352
0.6291 -0.39464 0.99562 3.0119 3.7067 0.83712
0.25164 3.7225 0.70645 2.1916 1.7817 0.48805
0.70887 -3.4186 0.43179 2.545 1.7786 0.21666
-0.028913 -1.6013 0.11113 3.1169 2.2027 0.28391
0.41616 1.8065 0.99364 3.1427 2.0075 0.7727
1.1365 -1.2757 0.84392 2.3473 5.2986 0.89819
